***,7/17,7/24,7/31,8/7,Average
10316,30,4,16,32,21
3614,5,3,0,12,5
791192,28,32,50,32,36
730300,18,20,34,27,25
42154,9,0,0,4,3
36500,97,94,76,94,90
791193,69,80,57,61,67
724300,55,77,20,61,53
22150,3,4,8,5,5
772392,1,0,0,0,0
10336C,9,1,0,7,4
724500,49,57,60,37,51
771851,24,24,16,10,19
71850,4,5,4,1,4
724150,20,18,23,11,18
88369,6,0,0,0,2
779113,5,16,27,29,19
779153,6,6,3,27,11
30150,15,18,20,20,18
777143,3,17,5,0,6
24153,9,21,7,6,11
773409,7,2,0,2,3
791194,10,0,0,0,3
27-1TVA-IET3,13,18,40,21,23
17500,5,5,3,0,3
936599,1,4,2,0,2
36153,4,8,6,4,6
77113,3,0,5,0,2
724304,12,11,14,11,12
50028,1,0,1,0,1
36150,14,30,17,12,18
772373,2,0,0,0,1
20006,1,0,0,0,0
777851,1,0,4,9,4
777850,1,1,2,0,1
24124,26,10,2,10,12
23233,1,0,0,0,0
25853,1,0,0,0,0
772589,4,0,0,8,3
799388,12,17,4,6,10
102630PLT,1,0,0,0,0
30153,1,0,1,0,1
10311C,10,23,16,0,12
724599,1,0,0,0,0
42304,1,4,18,0,6
MH-2SJR-ID3C,1,3,10,0,4
11500,1,1,0,1,1
30650,3,2,5,0,3
2209,1,2,1,1,1
936150,1,0,0,0,0
777802,2,5,6,4,4
722500,4,4,1,8,4
112000PLT,3,0,0,0,1
936300,1,0,0,0,0
16200,3,4,3,1,3
104604PLT,1,0,0,0,0
24154,2,0,0,0,1
24304,2,0,10,0,3
2262,1,0,0,0,0
499703,1,0,0,0,0
779112,1,1,1,1,1
777852,1,0,2,0,1
773201,2,0,0,0,1
12500,1,0,0,2,1
95029,1,0,2,0,1
2866,2,1,1,0,1
15001,2,2,4,1,2
773410,1,0,0,0,0
13020,1,1,0,0,1
7821,0,2,3,2,2
724510,0,4,0,0,1
9303,0,11,0,2,3
10317C,0,14,8,0,6
24650,0,4,0,2,2
10334C,0,79,107,46,58
36530,0,1,2,1,1
4543C,0,2,4,1,2
730599,0,1,1,1,1
22013,0,3,2,1,2
102467PLT,0,4,4,0,2
50029,0,1,0,2,1
7822,0,2,3,4,2
30030,0,2,1,8,3
734500,0,3,7,6,4
773382,0,4,0,0,1
2204,0,1,0,0,0
36555,0,1,0,0,0
F6-0O1K-QPPA,0,5,3,2,3
736303,0,2,1,8,3
41300A,0,1,2,1,1
924150,0,1,1,3,1
41305A,0,2,5,6,3
777800,0,1,1,0,1
41301A,0,0,2,0,1
40039-P1,0,0,1,0,0
20030,0,0,1,0,0
15500,0,0,2,0,1
30070,0,0,8,0,2
736688,0,0,1,0,0
30760,0,0,1,2,1
773712,0,0,1,0,0
730070,0,0,4,0,1
36151,0,0,1,2,1
41307A,0,0,1,1,1
42300,0,0,7,2,2
18599,0,0,1,0,0
22123,0,0,4,0,1
103309C,0,0,10,0,3
777801,0,0,1,0,0
736300,0,0,0,1,0
110581,0,0,0,5,1
730500,0,0,0,23,6
2852,0,0,0,2,1
17650,0,0,0,1,0
41302A,0,0,0,1,0
2596,0,0,0,5,1
113020,0,0,0,1,0
25893,0,0,0,4,1
2375,0,0,0,1,0
