order-id,purchase-date,sku,quantity-purchased
114-1344472-3301803,2022-07-17T16:31:13-07:00,10316,1.0
114-0418347-8378662,2022-07-17T17:50:24-07:00,3614,1.0
113-1501575-0525060,2022-07-17T18:21:46-07:00,791192,1.0
112-6251663-4468231,2022-07-17T18:26:12-07:00,730300,1.0
111-6966393-4517061,2022-07-18T04:16:17-07:00,42154,1.0
114-4643020-7157060,2022-07-18T05:16:41-07:00,36500,3.0
112-3785968-8942639,2022-07-18T05:50:51-07:00,791193,2.0
114-8299486-2801865,2022-07-18T06:12:36-07:00,724300,1.0
111-1491122-0995461,2022-07-15T08:05:05-07:00,10336C,1.0
113-1827019-8785055,2022-07-18T06:59:06-07:00,10316,2.0
113-9785392-3218616,2022-07-18T06:58:38-07:00,22150,1.0
114-5652191-0178659,2022-07-18T07:02:02-07:00,724300,1.0
113-9776318-8973850,2022-07-18T07:05:23-07:00,772392,1.0
112-7071204-0812257,2022-07-18T07:23:47-07:00,724300,1.0
111-3330024-7705067,2022-07-15T14:54:43-07:00,10336C,10.0
113-9328392-4626666,2022-07-18T07:28:56-07:00,10336C,1.0
114-0159791-6071436,2022-07-18T07:34:26-07:00,36500,1.0
111-3402692-0083446,2022-07-18T07:50:58-07:00,724500,3.0
112-3285277-6514615,2022-07-18T08:04:32-07:00,724300,1.0
113-7225250-7321859,2022-07-18T08:04:09-07:00,10316,3.0
114-7149445-5902644,2022-07-18T08:05:04-07:00,771851,2.0
113-6848034-3381805,2022-07-18T08:13:34-07:00,730300,1.0
112-6150039-8625827,2022-07-18T08:32:05-07:00,71850,1.0
111-3823687-8540264,2022-07-18T08:40:33-07:00,36500,2.0
113-2432309-3009864,2022-07-18T09:00:15-07:00,724150,1.0
113-6614894-5340243,2022-07-18T08:59:30-07:00,88369,2.0
111-2346617-2645025,2022-07-18T09:10:08-07:00,779113,3.0
111-4520411-0448239,2022-07-18T09:27:39-07:00,791193,10.0
111-5074934-2340237,2022-07-18T09:27:50-07:00,779153,5.0
113-0733220-0119462,2022-07-18T09:27:16-07:00,30150,1.0
112-0673241-3875433,2022-07-18T09:51:41-07:00,724300,1.0
114-3735641-9073806,2022-07-18T10:00:59-07:00,724300,1.0
113-6235190-1700250,2022-07-18T10:13:52-07:00,36500,1.0
114-7808491-6765036,2022-07-18T10:34:53-07:00,791193,1.0
113-9911008-0381047,2022-07-18T10:42:58-07:00,777143,3.0
113-9911008-0381047,2022-07-18T10:42:58-07:00,791192,4.0
113-4573721-6706617,2022-07-18T10:45:47-07:00,724300,2.0
112-3145467-2153030,2022-07-18T11:04:08-07:00,24153,1.0
111-8116576-0069816,2022-07-18T11:11:55-07:00,773409,1.0
114-0283319-1505823,2022-07-18T11:14:32-07:00,724300,1.0
111-1735279-9643420,2022-07-18T11:14:34-07:00,773409,1.0
111-9127276-9315429,2022-07-18T11:29:19-07:00,791194,6.0
112-1562615-2178665,2022-07-18T11:35:33-07:00,27-1TVA-IET3,2.0
112-0917164-4780203,2022-07-18T11:32:42-07:00,36500,1.0
114-3516656-4289833,2022-07-18T11:30:50-07:00,791193,1.0
112-4462865-7697004,2022-07-18T11:40:18-07:00,36500,1.0
113-7095406-0318602,2022-07-18T11:41:37-07:00,36500,1.0
114-8714209-8439466,2022-07-18T11:53:37-07:00,724500,2.0
112-6370105-1869869,2022-07-18T11:57:45-07:00,724300,1.0
113-1192380-8410611,2022-07-18T11:57:32-07:00,771851,1.0
111-5355059-4812269,2022-07-18T12:22:01-07:00,36500,1.0
113-9318523-2565051,2022-07-18T12:21:17-07:00,36500,2.0
114-6446255-4367426,2022-07-18T12:34:33-07:00,30150,1.0
114-3982526-0569048,2022-07-18T12:38:49-07:00,17500,1.0
111-7119835-6284233,2022-07-18T12:31:19-07:00,724300,1.0
112-6834338-9699431,2022-07-18T12:37:06-07:00,730300,1.0
